Id;Titulo;Director;Genero;Duracion;
1;Interstellar;Christopher Nolan;Ciencia Ficción;169
2;El Padrino;Francis Ford Coppola;Drama;175
3;Inception;Christopher Nolan;Acción;148
4;Pulp Fiction;Quentin Tarantino;Crimen;154
5;El Viaje de Chihiro;Hayao Miyazaki;Animación;125
6;Parásitos;Bong Joon-ho;Suspense;132
7;Matrix;Lana y Lilly Wachowski;Ciencia Ficción;136
8;Gladiator;Ridley Scott;Acción;155
9;Seven;David Fincher;Thriller;127
10;Coco;Lee Unkrich;Animación;105
